code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
227;6;4;GEORGES MARIN;1;VALSERHONE;RUE;1200.0
650;346;9;DE PRE BAILLY;1;GEX;RUE;1170.0
123;195;18;DU SAUGY;1;ORNEX;IMP;1210.0
18;6066;25;DES BATTOIRS;1;THOIRY;RUE;1710.0
650;348;9;DE PRE BAILLY;1;GEX;RUE;1170.0
31;72;42;DES COLLINES;1;SERGY;CHE;1630.0
170;86;13;DE MEYRIN;1;FERNEY-VOLTAIRE;RUE;1210.0
169;181;6;PARC JEAN MONNET;1;ST-GENIS-POUILLY;RUE;1630.0
567;28;2;DU PEUDEX;1;DIVONNE-LES-BAINS;CHE;1220.0
294;62;25;DU PONT DE GREMAZ;1;THOIRY;CHE;1710.0
14;1;4;ALBERT CAMUS;1;VALSERHONE;ALL;1200.0
130;10;6;DES HAUTAINS;1;ST-GENIS-POUILLY;RUE;1630.0
375;13;17;DES FOURS;1;BELLEY;PL;1300.0
59;4;20;DU MARAIS;1;PREVESSIN-MOENS;CHE;1280.0
85;67;11;DE GENEVE;1;CESSY;RTE;1170.0
100;644;2;D ARBERE;1;DIVONNE-LES-BAINS;RUE;1220.0
218;67;17;DE CHAVORNOD;1;BELLEY;RTE;1300.0
487;96;2;DU JURA;1;DIVONNE-LES-BAINS;RUE;1220.0
130;282;11;DES LONGES RAYES;1;CESSY;CHE;1170.0
660;152;2;GRANDE RUE;1;DIVONNE-LES-BAINS;GR;1220.0
680;170;9;DES TERREAUX;1;GEX;RUE;1170.0
105;399;15;DU COTEILLON;1;LAGNIEU;RUE;1150.0
90;780;43;DE LA REPUBLIQUE;1;FARGES;RUE;1550.0
201;53;6;DES PRUNUS;1;ST-GENIS-POUILLY;ALL;1630.0
100;71;44;DE LA PRALAY;1;CROZET;CHE;1170.0
560;46;45;DES NATIONS;1;VILLARS-LES-DOMBES;AV;1330.0
461;13;46;DE LAYE;1;MEXIMIEUX;RUE;1800.0
40;151;47;DE BELLEVILLE;1;MONTCEAUX;RTE;1090.0
520;9;48;NEUVE;1;MONTLUEL;RUE;1120.0
160;768;49;EDOUARD HERRIOT;1;JASSANS-RIOTTIER;RUE;1480.0
75;172;50;HECTOR BERLIOZ;1;BEAUREGARD;RUE;1480.0
510;2;46;DE LYON;1;MEXIMIEUX;RUE;1800.0
186;1172;51;DE GENEVE;1;DAGNEUX;RTE;1120.0
