no_disposition;date_mutation;valeur_fonciere
1;2020-06-26;35000
1;2020-06-18;300000
1;2020-06-06;33000
1;2020-06-26;57500
1;2020-06-05;63000
1;2020-06-26;25000
1;2020-06-10;225500
1;2020-06-29;55800
1;2020-06-23;135000
1;2020-06-11;95000
1;2020-06-17;64000
1;2020-06-30;135000
1;2020-06-30;90000
1;2020-01-29;75000
1;2020-01-20;41500
1;2020-01-16;41080
1;2020-02-12;
1;2020-01-16;310000
1;2020-02-07;159550
1;2020-01-22;150000
1;2020-02-18;165500
1;2020-02-21;67200
1;2020-02-12;230000
1;2020-02-05;220000
1;2020-02-07;53320
1;2020-02-10;49000
1;2020-02-24;110000
1;2020-02-27;238000
1;2020-02-24;55000
1;2020-02-22;53260
1;2020-02-25;120250
1;2020-02-18;119390
1;2020-02-20;117110
1;2020-02-21;85000
1;2020-02-28;140150
1;2020-03-16;113000
1;2020-03-26;26630
1;2020-04-02;64000
1;2020-03-02;56900
1;2020-04-22;114275
1;2020-04-03;123000
1;2020-04-16;98000
1;2020-03-27;43000
1;2020-03-04;30250
1;2020-04-27;50740
1;2020-04-30;146192
1;2020-04-27;40000
1;2020-05-06;80000
1;2020-04-30;65000
1;2020-04-22;112000
1;2020-05-14;85000
1;2020-05-13;47000
1;2020-05-14;67340
1;2020-05-29;65500
1;2020-05-28;125000
1;2020-05-26;153240
1;2020-05-30;75000
1;2020-05-29;23000
1;2020-05-28;107871
1;2020-06-04;33000
1;2020-05-30;187000
1;2020-05-11;51300
1;2020-05-28;45500
1;2020-05-29;59800
1;2020-06-08;75000
1;2020-05-16;32000
1;2020-05-18;36100
1;2020-05-15;50000
1;2020-05-18;81200
1;2020-05-29;148000
1;2020-05-22;46780
1;2020-06-10;233400
1;2020-05-15;165000
1;2020-06-05;55000
1;2020-06-06;34500
1;2020-06-03;125000
1;2020-06-09;144000
1;2020-06-19;179000
1;2020-06-05;181000
1;2020-06-08;278800
1;2020-06-05;220000
1;2020-06-05;136000
1;2020-06-23;30000
1;2020-06-08;85000
1;2020-05-29;39000
1;2020-06-23;19800
1;2020-06-26;21000
1;2020-06-15;202000
1;2020-06-12;44600
1;2020-06-15;39000
1;2020-06-05;212000
1;2020-06-06;152600
1;2020-06-06;66500
1;2020-06-06;69000
1;2020-06-29;76000
1;2020-06-15;51500
1;2020-06-26;141500
1;2020-06-15;153000
1;2020-06-24;85700
1;2020-06-23;19000
1;2020-06-15;190000
1;2020-06-22;202100
1;2020-06-30;64600
1;2020-06-29;90250
1;2020-01-03;616900
1;2020-01-03;212550
1;2020-01-02;229500
1;2020-01-13;191500
1;2020-01-13;140650
1;2020-01-10;228500
1;2020-01-15;112070
1;2020-01-06;212200
1;2020-01-14;195500
1;2020-01-10;158525
1;2020-01-16;171700
1;2020-01-08;340750
1;2020-01-09;179000
1;2020-01-09;121300
1;2020-01-03;317800
1;2020-01-10;262089
1;2020-01-09;314600
1;2020-01-17;767000
1;2020-01-17;116260
1;2020-01-10;414000
1;2020-01-14;413826
1;2020-01-20;327500
1;2020-01-06;643815
1;2020-01-14;652000
1;2020-01-20;113700
1;2020-01-17;1320000
1;2020-01-17;483314
1;2020-02-03;178140
1;2020-01-20;118110
1;2020-01-28;622850
1;2020-01-24;137009
1;2020-01-24;114500
1;2020-01-31;50925
1;2020-01-24;1852500
1;2020-01-24;233470
1;2020-02-07;151500
1;2020-01-21;117800
1;2020-02-05;1022000
1;2020-01-31;200150
1;2020-01-24;121900
1;2020-02-14;294000
1;2020-01-27;301150
1;2020-02-06;78500
1;2020-01-30;376150
1;2020-01-24;199500
1;2020-02-05;149870
1;2020-02-06;107600
1;2020-02-05;228800
1;2020-02-06;151592
1;2020-02-06;417000
1;2020-02-14;130940
1;2020-02-13;397400
1;2020-02-12;77000
1;2020-02-13;291550
1;2020-02-12;262580
1;2020-01-30;1196000
1;2020-02-10;325100
1;2020-01-30;148113
1;2020-02-04;142000
1;2020-02-24;175000
1;2020-02-14;194460
1;2020-02-17;274102
1;2020-01-31;205250
1;2020-02-28;149450
1;2020-02-25;136500
1;2020-02-04;211500
1;2020-02-11;43560
1;2020-02-14;291230
1;2020-02-10;153600
1;2020-02-17;409000
1;2020-02-06;138500
1;2020-02-29;302200
1;2020-02-20;234820
1;2020-02-21;417145
